age,avg_monthly_gb_download,avg_monthly_long_distance_charges,churn_category,churn_reason,churn_score,city,cltv,contract,country,customer_id,customer_status,dependents,device_protection_plan,gender,internet_service,internet_type,lat_long,latitude,longitude,married,monthly_charge,multiple_lines,number_of_dependents,number_of_referrals,offer,online_backup,online_security,paperless_billing,partner,payment_method,phone_service,population,premium_tech_support,quarter,referred_a_friend,satisfaction_score,senior_citizen,state,streaming_movies,streaming_music,streaming_tv,tenure_in_months,total_charges,total_extra_data_charges,total_long_distance_charges,total_refunds,total_revenue,under_30,unlimited_data,zip_code,churn
78,8,0.0,Competitor,Competitor offered more data,91,Los Angeles,5433,0,United States,8779-QRDMV,Churned,0,1,Male,1,DSL,0,34.02381,-118.156582,No,39.65,0,0,0,,0,0,Yes,0,Bank Withdrawal,No,68701,0,Q3,No,3,1,California,1,No,0,1,39.65,20,0.0,0.0,59.65,No,No,90022,1
74,17,48.85,Competitor,Competitor made better offer,69,Los Angeles,5302,0,United States,7495-OOKFY,Churned,1,0,Female,1,Fiber Optic,0,34.044271,-118.185237,Yes,80.65,1,1,1,Offer E,1,0,Yes,0,Credit Card,Yes,55668,0,Q3,Yes,3,1,California,0,No,0,8,633.3,0,390.8,0.0,1024.1,No,Yes,90063,1
71,52,11.33,Competitor,Competitor made better offer,81,Los Angeles,3179,0,United States,1658-BYGOY,Churned,1,0,Male,1,Fiber Optic,0,34.108833,-118.229715,No,95.45,1,3,0,Offer D,0,0,Yes,0,Bank Withdrawal,Yes,47534,0,Q3,No,2,1,California,1,Yes,1,18,1752.55,0,203.94,45.61,1910.88,No,Yes,90065,1
78,12,19.76,Dissatisfaction,Limited range of services,88,Inglewood,5337,0,United States,4598-XLKNJ,Churned,1,1,Female,1,Fiber Optic,0,33.936291,-118.332639,Yes,98.5,0,1,1,Offer C,1,0,Yes,0,Bank Withdrawal,Yes,27778,0,Q3,Yes,2,1,California,1,No,1,25,2514.5,0,494.00000000000006,13.43,2995.07,No,Yes,90303,1
80,14,6.33,Price,Extra data charges,67,Whittier,2793,0,United States,4846-WHAFZ,Churned,1,0,Female,1,Fiber Optic,0,33.972119,-118.020188,Yes,76.5,1,1,1,Offer C,0,0,Yes,0,Bank Withdrawal,Yes,26265,0,Q3,Yes,2,1,California,0,No,0,37,2868.15,0,234.21,0.0,3102.36,No,Yes,90602,1
72,18,3.33,Competitor,Competitor had better devices,95,Pico Rivera,4638,0,United States,4412-YLTKF,Churned,1,1,Female,1,Fiber Optic,0,33.989524,-118.089299,No,78.05,1,1,0,Offer C,0,0,Yes,0,Bank Withdrawal,Yes,63288,0,Q3,No,1,1,California,0,No,0,27,2135.5,10,89.91,0.0,2235.41,No,No,90660,1
76,30,15.28,Other,Don't know,76,Los Alamitos,3964,0,United States,0390-DCFDQ,Churned,1,0,Female,1,Fiber Optic,0,33.79499,-118.065591,Yes,70.45,0,2,1,Offer E,0,0,Yes,0,Mailed Check,Yes,21343,0,Q3,Yes,2,1,California,0,No,0,1,70.45,0,15.28,0.0,85.73,No,Yes,90720,1
66,24,0.0,Dissatisfaction,Service dissatisfaction,91,Sierra Madre,5444,0,United States,3445-HXXGF,Churned,0,1,Male,1,DSL,0,34.168686,-118.057505,Yes,45.3,0,0,6,Offer B,1,0,Yes,0,Bank Withdrawal,No,10558,0,Q3,Yes,1,1,California,1,No,0,58,2651.2,0,0.0,40.95,2610.25,No,Yes,91024,1
70,19,44.07,Dissatisfaction,Limited range of services,91,Pasadena,5717,0,United States,2656-FMOKZ,Churned,1,0,Female,1,Fiber Optic,0,34.139402,-118.128658,No,74.45,1,2,0,Offer D,0,0,Yes,0,Mailed Check,Yes,23742,0,Q3,No,2,1,California,0,No,0,15,1145.7,0,661.05,0.0,1806.75,No,Yes,91106,1
77,18,26.95,Price,Lack of affordable download/upload speed,81,Pasadena,4419,0,United States,2070-FNEXE,Churned,1,0,Female,1,Fiber Optic,0,34.159007,-118.087353,No,76.45,0,2,0,Offer E,0,1,No,0,Bank Withdrawal,Yes,32369,0,Q3,No,2,1,California,0,No,0,7,503.6,0,188.65,11.05,681.2,No,No,91107,1
