customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0000,Male,0,No,Yes,23,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,49.85,1146.55,No
CUST0001,Female,0,Yes,No,43,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,100.7,4330.1,Yes
CUST0002,Male,1,No,No,51,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,97.33,4963.83,Yes
CUST0003,Male,1,No,No,72,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card,101.38,7299.36,No
CUST0004,Male,1,No,No,25,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,52.22,1305.5,Yes
CUST0005,Female,0,Yes,No,35,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,No,Credit card,116.96,4093.6,No
CUST0006,Male,0,Yes,No,17,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer,91.53,1556.01,Yes
CUST0007,Male,0,Yes,Yes,18,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Mailed check,26.52,477.36,Yes
CUST0008,Male,0,No,No,27,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,67.77,1829.79,Yes
CUST0009,Female,0,No,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,86.45,1296.75,Yes
CUST0010,Male,1,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,36.87,2544.03,Yes
CUST0011,Male,0,Yes,No,15,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer,110.18,1652.7,No
CUST0012,Male,0,No,Yes,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,95.41,4007.22,No
CUST0013,Male,0,No,No,34,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card,28.14,956.76,No
CUST0014,Female,0,Yes,Yes,48,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,111.32,5343.36,Yes
CUST0015,Male,0,No,Yes,8,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer,60.44,483.52,Yes
CUST0016,Female,1,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,65.25,652.5,No
CUST0017,Female,0,No,No,5,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,98.31,491.55,No
CUST0018,Female,0,No,Yes,48,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,84.4,4051.2,Yes
CUST0019,Male,0,No,Yes,26,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Mailed check,63.75,1657.5,Yes
CUST0020,Female,1,No,No,23,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card,45.96,1057.08,No
CUST0021,Male,1,No,Yes,62,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,71.69,4444.78,No
CUST0022,Female,1,Yes,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,77.92,1012.96,Yes
CUST0023,Female,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,83.09,747.81,Yes
CUST0024,Female,1,No,Yes,20,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Credit card,80.51,1610.2,Yes
CUST0025,Female,0,No,No,57,No,No phone service,DSL,No,No,No,No,No,No,Two year,No,Mailed check,81.73,4658.61,Yes
CUST0026,Female,0,No,No,24,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card,67.57,1621.68,No
CUST0027,Female,1,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,76.19,2514.27,No
CUST0028,Female,0,Yes,Yes,20,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,48.86,977.2,Yes
CUST0029,Female,0,No,Yes,60,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,35.84,2150.4,Yes
CUST0030,Male,0,Yes,Yes,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,80.69,3873.12,No
CUST0031,Male,1,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer,24.7,1580.8,No
CUST0032,Female,0,No,Yes,30,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer,26.52,795.6,Yes
CUST0033,Female,0,No,Yes,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,44.73,760.41,No
CUST0034,Female,1,No,Yes,14,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,39.43,552.02,No
CUST0035,Male,0,No,No,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,57.41,1090.79,No
CUST0036,Female,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer,57.13,4056.23,No
CUST0037,Male,1,No,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,31.69,1869.71,No
CUST0038,Male,0,Yes,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,44.65,2991.55,Yes
CUST0039,Male,0,No,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.46,900.24,Yes
CUST0040,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Mailed check,55.1,1763.2,Yes
CUST0041,Male,0,No,Yes,11,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer,99.64,1096.04,No
CUST0042,Female,0,No,No,2,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,46.62,93.24,Yes
CUST0043,Female,1,Yes,No,68,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,84.33,5734.44,Yes
CUST0044,Female,1,Yes,No,17,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,29.83,507.11,No
CUST0045,Female,1,No,Yes,40,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,21.23,849.2,Yes
CUST0046,Female,1,Yes,Yes,46,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card,69.84,3212.64,No
CUST0047,Male,0,No,No,4,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,66.15,264.6,Yes
CUST0048,Female,0,No,No,38,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,39.15,1487.7,No
CUST0049,Female,0,Yes,No,63,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card,48.66,3065.58,Yes
CUST0050,Male,0,Yes,No,29,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,23.07,669.03,Yes
CUST0051,Female,0,Yes,Yes,19,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,99.78,1895.82,No
CUST0052,Male,1,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,50.13,1453.77,Yes
CUST0053,Female,1,No,No,35,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,41.95,1468.25,No
CUST0054,Male,0,Yes,No,70,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,100.47,7032.9,Yes
CUST0055,Female,0,Yes,No,23,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,23.93,550.39,Yes
CUST0056,Female,0,Yes,Yes,46,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer,48.45,2228.7,Yes
CUST0057,Male,1,Yes,No,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,46.28,2036.32,No
CUST0058,Male,0,Yes,Yes,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,46.3,2222.4,Yes
CUST0059,Male,0,No,No,52,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.15,1099.8,Yes
CUST0060,Male,0,No,Yes,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,113.47,907.76,Yes
CUST0061,Male,1,Yes,Yes,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,106.41,5852.55,Yes
CUST0062,Male,0,Yes,No,66,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,61.45,4055.7,Yes
CUST0063,Male,1,No,Yes,40,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card,64.54,2581.6,No
CUST0064,Male,1,Yes,Yes,31,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,72.42,2245.02,No
CUST0065,Female,1,No,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,67.83,3255.84,Yes
CUST0066,Female,1,No,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,97.91,5972.51,Yes
CUST0067,Male,1,Yes,No,52,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,68.84,3579.68,No
CUST0068,Female,1,No,No,38,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,38.88,1477.44,No
CUST0069,Female,0,Yes,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,31.7,1141.2,Yes
CUST0070,Female,0,Yes,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,111.83,6150.65,Yes
CUST0071,Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,24.84,322.92,No
CUST0072,Male,1,No,Yes,37,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer,109.76,4061.12,No
